Block 0: res=ff, exp=ff
Block 66: res=ff, exp=ff
Block 67: res=ff, exp=ff
Block 68: res=ff, exp=ff
Block 69: res=ff, exp=ff
Block 70: res=ff, exp=ff
Block 71: res=ff, exp=ff
Block 72: res=ff, exp=ff
Block 73: res=ff, exp=ff
Block 74: res=ff, exp=ff
Block 75: res=ff, exp=ff
Block 76: res=ff, exp=ff
Block 77: res=ff, exp=ff
Block 78: res=ff, exp=ff
Block 79: res=ff, exp=ff
Block 80: res=ff, exp=ff
Block 81: res=ff, exp=ff
Block 82: res=ff, exp=ff
Block 83: res=ff, exp=ff
Block 84: res=ff, exp=ff
Block 85: res=ff, exp=ff
Block 86: res=ff, exp=ff
Block 87: res=ff, exp=ff
Block 88: res=ff, exp=ff
Block 89: res=ff, exp=ff
Block 90: res=ff, exp=ff
Block 91: res=ff, exp=ff
Block 92: res=ff, exp=ff
Block 93: res=ff, exp=ff
Block 94: res=ff, exp=ff
Block 95: res=ff, exp=ff
Block 96: res=ff, exp=ff
Block 97: res=ff, exp=ff
Block 98: res=ff, exp=ff
Block 99: res=ff, exp=ff
Block 100: res=ff, exp=ff
Block 101: res=ff, exp=ff
Block 102: res=ff, exp=ff
Block 103: res=ff, exp=ff
Block 104: res=ff, exp=ff
Block 105: res=ff, exp=ff
Block 106: res=ff, exp=ff
Block 107: res=ff, exp=ff
Block 108: res=ff, exp=ff
Block 109: res=ff, exp=ff
Block 110: res=ff, exp=ff
Block 111: res=ff, exp=ff
Block 112: res=ff, exp=ff
Block 113: res=ff, exp=ff
Block 114: res=ff, exp=ff
Block 115: res=ff, exp=ff
Block 116: res=ff, exp=ff
Block 117: res=ff, exp=ff
Block 118: res=ff, exp=ff
Block 119: res=ff, exp=ff
Block 120: res=ff, exp=ff
Block 121: res=ff, exp=ff
Block 122: res=ff, exp=ff
Block 123: res=ff, exp=ff
Block 124: res=ff, exp=ff
Block 125: res=ff, exp=ff
Block 126: res=ff, exp=ff
Block 127: res=ff, exp=ff
Block 128: res=ff, exp=ff
Block 129: res=ff, exp=ff
Block 130: res=ff, exp=ff
Block 131: res=ff, exp=ff
Block 132: res=ff, exp=ff
Block 133: res=ff, exp=ff
Block 134: res=ff, exp=ff
Block 135: res=ff, exp=ff
Block 136: res=ff, exp=ff
Block 137: res=ff, exp=ff
Block 138: res=ff, exp=ff
Block 139: res=ff, exp=ff
Block 140: res=ff, exp=ff
Block 141: res=ff, exp=ff
Block 142: res=ff, exp=ff
Block 143: res=ff, exp=ff
Block 144: res=ff, exp=ff
Block 145: res=ff, exp=ff
Block 146: res=ff, exp=ff
Block 147: res=ff, exp=ff
Block 148: res=ff, exp=ff
Block 149: res=ff, exp=ff
Block 150: res=ff, exp=ff
Block 151: res=ff, exp=ff
Block 152: res=ff, exp=ff
Block 153: res=ff, exp=ff
Block 154: res=ff, exp=ff
Block 155: res=ff, exp=ff
Block 156: res=ff, exp=ff
Block 157: res=ff, exp=ff
Block 158: res=ff, exp=ff
Block 159: res=ff, exp=ff
Block 160: res=ff, exp=ff
Block 161: res=ff, exp=ff
Block 162: res=ff, exp=ff
Block 163: res=ff, exp=ff
Block 164: res=ff, exp=ff
Block 165: res=ff, exp=ff
Block 166: res=ff, exp=ff
Block 167: res=ff, exp=ff
Block 168: res=ff, exp=ff
Block 169: res=ff, exp=ff
Block 170: res=ff, exp=ff
Block 171: res=ff, exp=ff
Block 172: res=ff, exp=ff
Block 173: res=ff, exp=ff
Block 174: res=ff, exp=ff
Block 175: res=ff, exp=ff
Block 176: res=ff, exp=ff
Block 177: res=ff, exp=ff
Block 178: res=ff, exp=ff
Block 179: res=ff, exp=ff
Block 180: res=ff, exp=ff
Block 181: res=ff, exp=ff
Block 182: res=ff, exp=ff
Block 183: res=ff, exp=ff
Block 184: res=ff, exp=ff
Block 185: res=ff, exp=ff
Block 186: res=ff, exp=ff
Block 187: res=ff, exp=ff
Block 188: res=ff, exp=ff
Block 189: res=ff, exp=ff
Block 190: res=ff, exp=ff
Block 191: res=ff, exp=ff
Block 192: res=ff, exp=ff
Block 193: res=ff, exp=ff
Block 194: res=ff, exp=ff
Block 195: res=ff, exp=ff
Block 196: res=ff, exp=ff
Block 197: res=ff, exp=ff
Block 198: res=ff, exp=ff
Block 199: res=ff, exp=ff
Block 200: res=ff, exp=ff
Block 201: res=ff, exp=ff
Block 202: res=ff, exp=ff
Block 203: res=ff, exp=ff
Block 204: res=ff, exp=ff
Block 205: res=ff, exp=ff
Block 206: res=ff, exp=ff
Block 207: res=ff, exp=ff
Block 208: res=ff, exp=ff
Block 209: res=ff, exp=ff
Block 210: res=ff, exp=ff
Block 211: res=ff, exp=ff
Block 212: res=ff, exp=ff
Block 213: res=ff, exp=ff
Block 214: res=ff, exp=ff
Block 215: res=ff, exp=ff
Block 216: res=ff, exp=ff
Block 217: res=ff, exp=ff
Block 218: res=ff, exp=ff
Block 219: res=ff, exp=ff
Block 220: res=ff, exp=ff
Block 221: res=ff, exp=ff
Block 222: res=ff, exp=ff
Block 223: res=ff, exp=ff
Block 224: res=ff, exp=ff
Block 225: res=ff, exp=ff
Block 226: res=ff, exp=ff
Block 227: res=ff, exp=ff
Block 228: res=ff, exp=ff
Block 229: res=ff, exp=ff
Block 230: res=ff, exp=ff
Block 231: res=ff, exp=ff
Block 232: res=ff, exp=ff
Block 233: res=ff, exp=ff
Block 234: res=ff, exp=ff
Block 235: res=ff, exp=ff
Block 236: res=ff, exp=ff
Block 237: res=ff, exp=ff
Block 238: res=ff, exp=ff
Block 239: res=ff, exp=ff
Block 240: res=ff, exp=ff
Block 241: res=ff, exp=ff
Block 242: res=ff, exp=ff
Block 243: res=ff, exp=ff
Block 244: res=ff, exp=ff
Block 245: res=ff, exp=ff
Block 246: res=ff, exp=ff
Block 247: res=ff, exp=ff
Block 248: res=ff, exp=ff
Block 249: res=ff, exp=ff
Block 250: res=ff, exp=ff
Block 251: res=ff, exp=ff
Block 252: res=ff, exp=ff
Block 253: res=ff, exp=ff
Block 254: res=ff, exp=ff
Block 255: res=ff, exp=ff
Block 256: res=ff, exp=ff
Block 257: res=a7, exp=a7
Block 258: res=be, exp=be
Block 259: res=bf, exp=bf
Block 260: res=c7, exp=c7
Block 261: res=b7, exp=b7
Block 262: res=c8, exp=c8
Block 263: res=b1, exp=b1
Block 264: res=ac, exp=ac
Block 265: res=bb, exp=bb
Block 266: res=9d, exp=9d
Block 267: res=ae, exp=ae
Block 268: res=a7, exp=a7
Block 269: res=9f, exp=9f
Block 270: res=a3, exp=a3
Block 271: res=ab, exp=ab
Block 272: res=b4, exp=b4
Block 273: res=bc, exp=bc
Block 274: res=c2, exp=c2
Block 275: res=b4, exp=b4
Block 276: res=ab, exp=ab
Block 277: res=ad, exp=ad
Block 278: res=b5, exp=b5
Block 279: res=ba, exp=ba
Block 280: res=c4, exp=c4
Block 281: res=d2, exp=d2
Block 282: res=ab, exp=ab
Block 283: res=c7, exp=c7
Block 284: res=82, exp=82
Block 285: res=e6, exp=e6
Block 286: res=a6, exp=a6
Block 287: res=9b, exp=9b
Block 288: res=61, exp=61
Block 289: res=77, exp=77
Block 290: res=81, exp=81
Block 291: res=8a, exp=8a
Block 292: res=87, exp=87
Block 293: res=75, exp=75
Block 294: res=6c, exp=6c
Block 295: res=7a, exp=7a
Block 296: res=8a, exp=8a
Block 297: res=79, exp=79
Block 298: res=7a, exp=7a
Block 299: res=7b, exp=7b
Block 300: res=75, exp=75
Block 301: res=6b, exp=6b
Block 302: res=7f, exp=7f
Block 303: res=80, exp=80
Block 304: res=79, exp=79
Block 305: res=84, exp=84
Block 306: res=71, exp=71
Block 307: res=6f, exp=6f
Block 308: res=88, exp=88
Block 309: res=a3, exp=a3
Block 310: res=75, exp=75
Block 311: res=8d, exp=8d
Block 312: res=9d, exp=9d
Block 313: res=79, exp=79
Block 314: res=9f, exp=9f
Block 315: res=88, exp=88
Block 316: res=97, exp=97
Block 317: res=9a, exp=9a
Block 318: res=8a, exp=8a
Block 319: res=a7, exp=a7
Block 320: res=89, exp=89
Block 321: res=97, exp=97
Block 322: res=97, exp=97
Block 323: res=8a, exp=8a
Block 324: res=a8, exp=a8
Block 325: res=9c, exp=9c
Block 326: res=80, exp=80
Block 327: res=80, exp=80
Block 328: res=b4, exp=b4
Block 329: res=97, exp=97
Block 330: res=ae, exp=ae
Block 331: res=90, exp=90
Block 332: res=90, exp=90
Block 333: res=81, exp=81
Block 334: res=a4, exp=a4
Block 335: res=9a, exp=9a
Block 336: res=9c, exp=9c
Block 337: res=a5, exp=a5
Block 338: res=8a, exp=8a
Block 339: res=92, exp=92
Block 340: res=95, exp=95
Block 341: res=93, exp=93
Block 342: res=91, exp=91
Block 343: res=90, exp=90
Block 344: res=95, exp=95
Block 345: res=86, exp=86
Block 346: res=89, exp=89
Block 347: res=88, exp=88
Block 348: res=8c, exp=8c
Block 349: res=96, exp=96
Block 350: res=7c, exp=7c
Block 351: res=8d, exp=8d
Block 352: res=9a, exp=9a
Block 353: res=9a, exp=9a
Block 354: res=a2, exp=a2
Block 355: res=9d, exp=9d
Block 356: res=91, exp=91
Block 357: res=9c, exp=9c
Block 358: res=9f, exp=9f
Block 359: res=75, exp=75
Block 360: res=c5, exp=c5
Block 361: res=bd, exp=bd
Block 362: res=88, exp=88
Block 363: res=94, exp=94
Block 364: res=8f, exp=8f
Block 365: res=96, exp=96
Block 366: res=89, exp=89
Block 367: res=a0, exp=a0
Block 368: res=8c, exp=8c
Block 369: res=a4, exp=a4
Block 370: res=98, exp=98
Block 371: res=8b, exp=8b
Block 372: res=9e, exp=9e
Block 373: res=88, exp=88
Block 374: res=8c, exp=8c
Block 375: res=8e, exp=8e
Block 376: res=95, exp=95
Block 377: res=a4, exp=a4
Block 378: res=97, exp=97
Block 379: res=b4, exp=b4
Block 380: res=7f, exp=7f
Block 381: res=91, exp=91
Block 382: res=85, exp=85
Block 383: res=a2, exp=a2
Block 384: res=b0, exp=b0
Block 385: res=7d, exp=7d
Block 386: res=88, exp=88
Block 387: res=90, exp=90
Block 388: res=94, exp=94
Block 389: res=8a, exp=8a
Block 390: res=9a, exp=9a
Block 391: res=83, exp=83
Block 392: res=7d, exp=7d
Block 393: res=8e, exp=8e
Block 394: res=75, exp=75
Block 395: res=9c, exp=9c
Block 396: res=7e, exp=7e
Block 397: res=94, exp=94
Block 398: res=7e, exp=7e
Block 399: res=aa, exp=aa
Block 400: res=91, exp=91
Block 401: res=8c, exp=8c
Block 402: res=94, exp=94
Block 403: res=9f, exp=9f
Block 404: res=94, exp=94
Block 405: res=93, exp=93
Block 406: res=b1, exp=b1
Block 407: res=ab, exp=ab
Block 408: res=88, exp=88
Block 409: res=8f, exp=8f
Block 410: res=83, exp=83
Block 411: res=85, exp=85
Block 412: res=8e, exp=8e
Block 413: res=6d, exp=6d
Block 414: res=a6, exp=a6
Block 415: res=72, exp=72
Block 416: res=7a, exp=7a
Block 417: res=90, exp=90
Block 418: res=9c, exp=9c
Block 419: res=97, exp=97
Block 420: res=93, exp=93
Block 421: res=96, exp=96
Block 422: res=ab, exp=ab
Block 423: res=b2, exp=b2
Block 424: res=a0, exp=a0
Block 425: res=af, exp=af
Block 426: res=b9, exp=b9
Block 427: res=ae, exp=ae
Block 428: res=85, exp=85
Block 429: res=b4, exp=b4
Block 430: res=c2, exp=c2
Block 431: res=b4, exp=b4
Block 432: res=aa, exp=aa
Block 433: res=b5, exp=b5
Block 434: res=c3, exp=c3
Block 435: res=9c, exp=9c
Block 436: res=b3, exp=b3
Block 437: res=ba, exp=ba
Block 438: res=a4, exp=a4
Block 439: res=bf, exp=bf
Block 440: res=a0, exp=a0
Block 441: res=9e, exp=9e
Block 442: res=9c, exp=9c
Block 443: res=a2, exp=a2
Block 444: res=a0, exp=a0
Block 445: res=be, exp=be
Block 446: res=ae, exp=ae
Block 447: res=98, exp=98
Block 448: res=a6, exp=a6
Block 449: res=98, exp=98
Block 450: res=af, exp=af
Block 451: res=97, exp=97
Block 452: res=aa, exp=aa
Block 453: res=b0, exp=b0
Block 454: res=a4, exp=a4
Block 455: res=a8, exp=a8
Block 456: res=ba, exp=ba
Block 457: res=c6, exp=c6
Block 458: res=e3, exp=e3
Block 459: res=eb, exp=eb
Block 460: res=d6, exp=d6
Block 461: res=d8, exp=d8
Block 462: res=dd, exp=dd
Block 463: res=da, exp=da
Block 464: res=ef, exp=ef
Block 465: res=ea, exp=ea
Block 466: res=ce, exp=ce
Block 467: res=ad, exp=ad
Block 468: res=79, exp=79
Block 469: res=7b, exp=7b
Block 470: res=9f, exp=9f
Block 471: res=84, exp=84
Block 472: res=81, exp=81
Block 473: res=7a, exp=7a
Block 474: res=77, exp=77
Block 475: res=83, exp=83
Block 476: res=a2, exp=a2
Block 477: res=6d, exp=6d
Block 478: res=97, exp=97
Block 479: res=83, exp=83
Block 480: res=9a, exp=9a
Block 481: res=9f, exp=9f
Block 482: res=77, exp=77
Block 483: res=95, exp=95
Block 484: res=89, exp=89
Block 485: res=79, exp=79
Block 486: res=84, exp=84
Block 487: res=83, exp=83
Block 488: res=85, exp=85
Block 489: res=b8, exp=b8
Block 490: res=9c, exp=9c
Block 491: res=90, exp=90
Block 492: res=94, exp=94
Block 493: res=8e, exp=8e
Block 494: res=98, exp=98
Block 495: res=63, exp=63
Block 496: res=af, exp=af
Block 497: res=82, exp=82
Block 498: res=8a, exp=8a
Block 499: res=7a, exp=7a
Block 500: res=88, exp=88
Block 501: res=b1, exp=b1
Block 502: res=af, exp=af
Block 503: res=a5, exp=a5
Block 504: res=9c, exp=9c
Block 505: res=7a, exp=7a
Block 506: res=88, exp=88
Block 507: res=7b, exp=7b
Block 508: res=dd, exp=dd
Block 509: res=c9, exp=c9
Block 510: res=e8, exp=e8
Block 511: res=ff, exp=ff
Block 512: res=ff, exp=ff
Block 513: res=a2, exp=a2
Block 514: res=bc, exp=bc
Block 515: res=c1, exp=c1
Block 516: res=b4, exp=b4
Block 517: res=c0, exp=c0
Block 518: res=b4, exp=b4
Block 519: res=b2, exp=b2
Block 520: res=a6, exp=a6
Block 521: res=af, exp=af
Block 522: res=96, exp=96
Block 523: res=ae, exp=ae
Block 524: res=a6, exp=a6
Block 525: res=a0, exp=a0
Block 526: res=a5, exp=a5
Block 527: res=b3, exp=b3
Block 528: res=ab, exp=ab
Block 529: res=a9, exp=a9
Block 530: res=bc, exp=bc
Block 531: res=b4, exp=b4
Block 532: res=b2, exp=b2
Block 533: res=b6, exp=b6
Block 534: res=b0, exp=b0
Block 535: res=ba, exp=ba
Block 536: res=c8, exp=c8
Block 537: res=cc, exp=cc
Block 538: res=b2, exp=b2
Block 539: res=b8, exp=b8
Block 540: res=96, exp=96
Block 541: res=da, exp=da
Block 542: res=a6, exp=a6
Block 543: res=92, exp=92
Block 544: res=7d, exp=7d
Block 545: res=77, exp=77
Block 546: res=7e, exp=7e
Block 547: res=77, exp=77
Block 548: res=7f, exp=7f
Block 549: res=73, exp=73
Block 550: res=6e, exp=6e
Block 551: res=72, exp=72
Block 552: res=8d, exp=8d
Block 553: res=87, exp=87
Block 554: res=7d, exp=7d
Block 555: res=87, exp=87
Block 556: res=76, exp=76
Block 557: res=6f, exp=6f
Block 558: res=7c, exp=7c
Block 559: res=76, exp=76
Block 560: res=79, exp=79
Block 561: res=87, exp=87
Block 562: res=68, exp=68
Block 563: res=84, exp=84
Block 564: res=7b, exp=7b
Block 565: res=9d, exp=9d
Block 566: res=9f, exp=9f
Block 567: res=8e, exp=8e
Block 568: res=9d, exp=9d
Block 569: res=7d, exp=7d
Block 570: res=8e, exp=8e
Block 571: res=95, exp=95
Block 572: res=92, exp=92
Block 573: res=99, exp=99
Block 574: res=7b, exp=7b
Block 575: res=84, exp=84
Block 576: res=92, exp=92
Block 577: res=97, exp=97
Block 578: res=9b, exp=9b
Block 579: res=77, exp=77
Block 580: res=b1, exp=b1
Block 581: res=aa, exp=aa
Block 582: res=8a, exp=8a
Block 583: res=8e, exp=8e
Block 584: res=a1, exp=a1
Block 585: res=87, exp=87
Block 586: res=94, exp=94
Block 587: res=93, exp=93
Block 588: res=8d, exp=8d
Block 589: res=82, exp=82
Block 590: res=ae, exp=ae
Block 591: res=a4, exp=a4
Block 592: res=a8, exp=a8
Block 593: res=ae, exp=ae
Block 594: res=99, exp=99
Block 595: res=95, exp=95
Block 596: res=9d, exp=9d
Block 597: res=90, exp=90
Block 598: res=8f, exp=8f
Block 599: res=99, exp=99
Block 600: res=94, exp=94
Block 601: res=9e, exp=9e
Block 602: res=82, exp=82
Block 603: res=87, exp=87
Block 604: res=9b, exp=9b
Block 605: res=95, exp=95
Block 606: res=89, exp=89
Block 607: res=95, exp=95
Block 608: res=a2, exp=a2
Block 609: res=96, exp=96
Block 610: res=a1, exp=a1
Block 611: res=95, exp=95
Block 612: res=9a, exp=9a
Block 613: res=a7, exp=a7
Block 614: res=92, exp=92
Block 615: res=92, exp=92
Block 616: res=9d, exp=9d
Block 617: res=b6, exp=b6
Block 618: res=85, exp=85
Block 619: res=98, exp=98
Block 620: res=7f, exp=7f
Block 621: res=90, exp=90
Block 622: res=93, exp=93
Block 623: res=89, exp=89
Block 624: res=a4, exp=a4
Block 625: res=98, exp=98
Block 626: res=ab, exp=ab
Block 627: res=84, exp=84
Block 628: res=90, exp=90
Block 629: res=8d, exp=8d
Block 630: res=7f, exp=7f
Block 631: res=90, exp=90
Block 632: res=96, exp=96
Block 633: res=9d, exp=9d
Block 634: res=95, exp=95
Block 635: res=a0, exp=a0
Block 636: res=8a, exp=8a
Block 637: res=8b, exp=8b
Block 638: res=84, exp=84
Block 639: res=98, exp=98
Block 640: res=b1, exp=b1
Block 641: res=8a, exp=8a
Block 642: res=97, exp=97
Block 643: res=86, exp=86
Block 644: res=ae, exp=ae
Block 645: res=8c, exp=8c
Block 646: res=8a, exp=8a
Block 647: res=96, exp=96
Block 648: res=85, exp=85
Block 649: res=97, exp=97
Block 650: res=89, exp=89
Block 651: res=a1, exp=a1
Block 652: res=7b, exp=7b
Block 653: res=96, exp=96
Block 654: res=7e, exp=7e
Block 655: res=ab, exp=ab
Block 656: res=80, exp=80
Block 657: res=8d, exp=8d
Block 658: res=9d, exp=9d
Block 659: res=80, exp=80
Block 660: res=a3, exp=a3
Block 661: res=8d, exp=8d
Block 662: res=94, exp=94
Block 663: res=a2, exp=a2
Block 664: res=7f, exp=7f
Block 665: res=88, exp=88
Block 666: res=8f, exp=8f
Block 667: res=7e, exp=7e
Block 668: res=79, exp=79
Block 669: res=89, exp=89
Block 670: res=9a, exp=9a
Block 671: res=6c, exp=6c
Block 672: res=6e, exp=6e
Block 673: res=95, exp=95
Block 674: res=9b, exp=9b
Block 675: res=a1, exp=a1
Block 676: res=9c, exp=9c
Block 677: res=a4, exp=a4
Block 678: res=9b, exp=9b
Block 679: res=b6, exp=b6
Block 680: res=ac, exp=ac
Block 681: res=a6, exp=a6
Block 682: res=a9, exp=a9
Block 683: res=aa, exp=aa
Block 684: res=91, exp=91
Block 685: res=ac, exp=ac
Block 686: res=ae, exp=ae
Block 687: res=a1, exp=a1
Block 688: res=a7, exp=a7
Block 689: res=b0, exp=b0
Block 690: res=c0, exp=c0
Block 691: res=9a, exp=9a
Block 692: res=b6, exp=b6
Block 693: res=bf, exp=bf
Block 694: res=a4, exp=a4
Block 695: res=b5, exp=b5
Block 696: res=97, exp=97
Block 697: res=99, exp=99
Block 698: res=a2, exp=a2
Block 699: res=b3, exp=b3
Block 700: res=a4, exp=a4
Block 701: res=b7, exp=b7
Block 702: res=b4, exp=b4
Block 703: res=9a, exp=9a
Block 704: res=a7, exp=a7
Block 705: res=9c, exp=9c
Block 706: res=aa, exp=aa
Block 707: res=9a, exp=9a
Block 708: res=a4, exp=a4
Block 709: res=a8, exp=a8
Block 710: res=9e, exp=9e
Block 711: res=a9, exp=a9
Block 712: res=ac, exp=ac
Block 713: res=c1, exp=c1
Block 714: res=e3, exp=e3
Block 715: res=dd, exp=dd
Block 716: res=d8, exp=d8
Block 717: res=df, exp=df
Block 718: res=e0, exp=e0
Block 719: res=df, exp=df
Block 720: res=e2, exp=e2
Block 721: res=e8, exp=e8
Block 722: res=ca, exp=ca
Block 723: res=a8, exp=a8
Block 724: res=50, exp=50
Block 725: res=7d, exp=7d
Block 726: res=7d, exp=7d
Block 727: res=83, exp=83
Block 728: res=88, exp=88
Block 729: res=7f, exp=7f
Block 730: res=82, exp=82
Block 731: res=84, exp=84
Block 732: res=81, exp=81
Block 733: res=85, exp=85
Block 734: res=7f, exp=7f
Block 735: res=83, exp=83
Block 736: res=8f, exp=8f
Block 737: res=8e, exp=8e
Block 738: res=71, exp=71
Block 739: res=8c, exp=8c
Block 740: res=82, exp=82
Block 741: res=82, exp=82
Block 742: res=7d, exp=7d
Block 743: res=96, exp=96
Block 744: res=93, exp=93
Block 745: res=a5, exp=a5
Block 746: res=a3, exp=a3
Block 747: res=8b, exp=8b
Block 748: res=90, exp=90
Block 749: res=a0, exp=a0
Block 750: res=88, exp=88
Block 751: res=6f, exp=6f
Block 752: res=9f, exp=9f
Block 753: res=84, exp=84
Block 754: res=a1, exp=a1
Block 755: res=8e, exp=8e
Block 756: res=8e, exp=8e
Block 757: res=98, exp=98
Block 758: res=8f, exp=8f
Block 759: res=99, exp=99
Block 760: res=89, exp=89
Block 761: res=86, exp=86
Block 762: res=84, exp=84
Block 763: res=88, exp=88
Block 764: res=ef, exp=ef
Block 765: res=ff, exp=ff
Block 766: res=ff, exp=ff
Block 767: res=ff, exp=ff
Block 768: res=ff, exp=ff
Block 769: res=a2, exp=a2
Block 770: res=b9, exp=b9
Block 771: res=c0, exp=c0
Block 772: res=be, exp=be
Block 773: res=d2, exp=d2
Block 774: res=8c, exp=8c
Block 775: res=b2, exp=b2
Block 776: res=a7, exp=a7
Block 777: res=a9, exp=a9
Block 778: res=9c, exp=9c
Block 779: res=bb, exp=bb
Block 780: res=a6, exp=a6
Block 781: res=98, exp=98
Block 782: res=9f, exp=9f
Block 783: res=ab, exp=ab
Block 784: res=b6, exp=b6
Block 785: res=98, exp=98
Block 786: res=a3, exp=a3
Block 787: res=a2, exp=a2
Block 788: res=b9, exp=b9
Block 789: res=b1, exp=b1
Block 790: res=ba, exp=ba
Block 791: res=c0, exp=c0
Block 792: res=d2, exp=d2
Block 793: res=c4, exp=c4
Block 794: res=b6, exp=b6
Block 795: res=a8, exp=a8
Block 796: res=c6, exp=c6
Block 797: res=8c, exp=8c
Block 798: res=b1, exp=b1
Block 799: res=9c, exp=9c
Block 800: res=87, exp=87
Block 801: res=68, exp=68
Block 802: res=7d, exp=7d
Block 803: res=74, exp=74
Block 804: res=6a, exp=6a
Block 805: res=69, exp=69
Block 806: res=87, exp=87
Block 807: res=9d, exp=9d
Block 808: res=78, exp=78
Block 809: res=75, exp=75
Block 810: res=70, exp=70
Block 811: res=94, exp=94
Block 812: res=6c, exp=6c
Block 813: res=6a, exp=6a
Block 814: res=75, exp=75
Block 815: res=82, exp=82
Block 816: res=69, exp=69
Block 817: res=89, exp=89
Block 818: res=76, exp=76
Block 819: res=8b, exp=8b
Block 820: res=81, exp=81
Block 821: res=8b, exp=8b
Block 822: res=9b, exp=9b
Block 823: res=8e, exp=8e
Block 824: res=90, exp=90
Block 825: res=a0, exp=a0
Block 826: res=ab, exp=ab
Block 827: res=a0, exp=a0
Block 828: res=ad, exp=ad
Block 829: res=87, exp=87
Block 830: res=85, exp=85
Block 831: res=8a, exp=8a
Block 832: res=8e, exp=8e
Block 833: res=8f, exp=8f
Block 834: res=9c, exp=9c
Block 835: res=91, exp=91
Block 836: res=b7, exp=b7
Block 837: res=8f, exp=8f
Block 838: res=a3, exp=a3
Block 839: res=8e, exp=8e
Block 840: res=a2, exp=a2
Block 841: res=9e, exp=9e
Block 842: res=94, exp=94
Block 843: res=8e, exp=8e
Block 844: res=9a, exp=9a
Block 845: res=89, exp=89
Block 846: res=ae, exp=ae
Block 847: res=91, exp=91
Block 848: res=a2, exp=a2
Block 849: res=aa, exp=aa
Block 850: res=96, exp=96
Block 851: res=8f, exp=8f
Block 852: res=97, exp=97
Block 853: res=88, exp=88
Block 854: res=92, exp=92
Block 855: res=a2, exp=a2
Block 856: res=8c, exp=8c
Block 857: res=8e, exp=8e
Block 858: res=9d, exp=9d
Block 859: res=8e, exp=8e
Block 860: res=8a, exp=8a
Block 861: res=8a, exp=8a
Block 862: res=85, exp=85
Block 863: res=8d, exp=8d
Block 864: res=9f, exp=9f
Block 865: res=92, exp=92
Block 866: res=96, exp=96
Block 867: res=8e, exp=8e
Block 868: res=97, exp=97
Block 869: res=97, exp=97
Block 870: res=98, exp=98
Block 871: res=87, exp=87
Block 872: res=b2, exp=b2
Block 873: res=90, exp=90
Block 874: res=c4, exp=c4
Block 875: res=81, exp=81
Block 876: res=c8, exp=c8
Block 877: res=93, exp=93
Block 878: res=97, exp=97
Block 879: res=7f, exp=7f
Block 880: res=95, exp=95
Block 881: res=a8, exp=a8
Block 882: res=9d, exp=9d
Block 883: res=80, exp=80
Block 884: res=8b, exp=8b
Block 885: res=83, exp=83
Block 886: res=a2, exp=a2
Block 887: res=96, exp=96
Block 888: res=99, exp=99
Block 889: res=a1, exp=a1
Block 890: res=ac, exp=ac
Block 891: res=76, exp=76
Block 892: res=9a, exp=9a
Block 893: res=89, exp=89
Block 894: res=9a, exp=9a
Block 895: res=99, exp=99
Block 896: res=aa, exp=aa
Block 897: res=85, exp=85
Block 898: res=98, exp=98
Block 899: res=90, exp=90
Block 900: res=9a, exp=9a
Block 901: res=9b, exp=9b
Block 902: res=84, exp=84
Block 903: res=9c, exp=9c
